"nuprocesso";"deassunto";"devara";"dtcoleta";"declasse"
"00019008220188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00020003720188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00498257020188178201";DIREITO CIVIL;"18O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00214294920198178201";DIREITO CIVIL;"7O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00044746220198178226";DIREITO CIVIL;"2O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00002897220188172290";DIREITO CIVIL;VARA UNICA DA COMARCA DE BODOCO;2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00210570320198178201";DIREITO CIVIL;"4O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00406176220188178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"14O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00074449420198173130";DIREITO CIVIL;"5A VARA CIVEL DA COMARCA DE PETROLINA";2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00354994220178178201";DIREITO PROCESSUAL CIVIL E DO TRABALHO;"4O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00000693420178172250";DIREITO CIVIL;VARA UNICA DA COMARCA DE BELEM SAO FRANCISCO;2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00000602120198178226";DIREITO DO CONSUMIDOR;"1O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00026680820188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00003201620198178221";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DO CABO DE SANTO AGOSTINHO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00040395920178178226";DIREITO CIVIL;"1O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE PETROLINA";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00004255620198172380";DIREITO CIVIL;"2A VARA DA COMARCA DE CABROBO";2020-01-11 00:00:00;PROCEDIMENTO COMUM CIVEL (7)
"00039813920198172001";DIREITO PROCESSUAL CIVIL E DO TRABALHO;SECAO B DA 18A VARA CIVEL DA CAPITAL;2020-01-11 00:00:00;TUTELA ANTECIPADA ANTECEDENTE (12135)
"00142847320188178201";DIREITO DO CONSUMIDOR;"16O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00348816320188178201";DIREITO DO CONSUMIDOR;"14O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00436148120198178201";DIREITO CIVIL;"17O JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DA CAPITAL";2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00028084220188178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
"00000367220198178232";DIREITO CIVIL;JUIZADO ESPECIAL CIVEL E DAS RELACOES DE CONSUMO DE VITORIA DE SANTO ANTAO;2020-01-11 00:00:00;PROCEDIMENTO DO JUIZADO ESPECIAL CIVEL (436)
